"stop_id","stop_desc","stop_lat","stop_lon","location_type","wheelchair_boarding"
"acc_4_148_379","Calle de San Restituto 58","40.46493","-3.71498","2","0"
"acc_4_148_380","Calle de Arciniega 11","40.46446","-3.71449","2","0"
"acc_4_149_381","Calle de Valderrodrigo 82","40.47012","-3.71775","2","0"
"acc_4_149_382","Calle de Valderrodrigo 82","40.46995","-3.71809","2","0"
"acc_4_149_383","Calle de Valderrodrigo 55","40.47026","-3.71788","2","0"
"acc_4_14_46","Calle del Amor de Dios 14","40.4123","-3.69865","2","0"
"acc_4_14_47","Plaza de Antón Martín 1","40.41242","-3.69958","2","0"
"acc_4_14_49","Calle de Atocha 85","40.41152","-3.69733","2","0"
"acc_4_14_50","Calle de Atocha 76","40.41142","-3.69742","2","0"
"acc_4_150_384","Cmno de Ganapanes 35","40.47602","-3.71611","2","0"
